user_id,dep_var,gender,age,var_geo
99388421319,0,1,1,7
31210963118,1,0,2,65
30909369726,1,0,2,13
27211272582,1,1,3,4
62002398533,0,1,1,70
4634999631,1,1,3,61
42610895528,0,0,2,64
35263896448,1,0,2,36
99360694337,1,1,3,32
56654861860,1,0,3,33
80387761830,0,1,3,74
41894090548,1,0,0,63
77348481298,0,1,2,48
23184632822,1,0,0,23
25432220712,1,0,0,57
75626819765,0,0,0,15
46988598716,1,1,2,41
67922547824,1,0,1,31
4747896878,0,1,1,14
62491436278,0,0,0,8
33232146488,0,0,3,19
56966899432,1,1,2,64
24905189663,1,1,0,64
85491948931,0,0,1,10
37467919420,0,0,0,71
45746254516,1,1,0,33
14840188361,1,0,3,3
26663084117,1,1,0,20
87718846602,0,1,2,9
85497914736,0,0,2,67
67076389307,0,0,0,69
30246436321,0,1,3,16
68702366823,0,1,3,37
24162866588,0,1,1,45
79616214073,0,1,1,8
80792562027,0,0,0,30
76251459741,0,1,1,14
91961386387,0,0,2,39
33961007306,0,0,1,42
4176081572,1,0,2,3
45465705698,0,0,0,78
95023524842,0,0,2,69
72361006734,1,0,2,42
88909782153,1,1,0,38
94737307425,1,0,0,2
83833158174,1,1,2,74
90248918895,0,1,1,35
50383635053,1,0,2,46
37225391381,0,0,3,24
15257463423,1,0,0,61
65200890699,1,1,2,69
96371630564,0,1,2,38
32230753417,0,0,1,3
88722753275,0,0,0,59
40384064364,1,1,0,71
35073472086,0,0,0,24
46991836378,0,0,3,28
22631534698,0,0,2,23
95598726386,1,0,0,15
99286915579,1,1,1,26
71330811179,0,0,3,20
96169869144,0,0,2,31
82675616382,0,0,1,28
40598079405,0,0,3,2
77494869872,0,1,1,80
62542335857,1,0,0,56
95493998107,0,0,1,5
75313210423,0,0,3,22
51792687057,1,0,3,70
35455015827,1,1,2,70
79929001918,1,1,2,81
92348009126,1,1,3,3
5456221732,0,1,1,34
39676537524,1,1,3,31
81457569079,1,0,1,59
4025031258,0,1,3,42
39033106499,1,0,0,70
54344302509,1,1,0,72
67751747655,1,1,1,66
38358479012,1,0,2,18
11305236446,1,1,0,34
79653807399,1,1,1,53
67842970599,1,1,3,49
7797702101,1,0,3,37
14031343640,1,0,3,3
42663411760,1,0,1,25
61168210660,1,0,3,48
44183790823,1,0,2,62
85234413035,1,1,0,46
67456811335,1,1,2,11
76579763001,0,1,0,74
80374881003,1,1,1,2
18925837530,1,0,1,38
81521120141,1,0,0,10
58723378330,1,1,2,27
26721947745,1,0,1,25
54136621058,0,1,1,20
17911203422,1,1,3,41
65062226952,0,0,0,6
66713552026,1,0,3,6
79111954863,1,1,0,35
20464818006,1,0,1,15
16529650587,0,0,2,27
3521087859,1,1,2,35
31964600940,1,1,2,29
95116542150,0,1,2,69
75388220028,1,0,0,63
68120228669,0,0,3,59
70762713592,0,1,0,34
10477715659,1,0,3,46
28447082861,1,0,0,36
75377169804,1,0,2,13
23915889064,1,1,0,21
1372778644,1,1,1,25
51667772797,1,0,3,71
7532773900,1,1,0,16
56205580271,1,0,1,56
68720334171,1,1,3,59
73963838752,0,1,2,80
71188113419,0,1,0,15
33990060302,0,0,1,61
86813430117,1,1,1,28
44093415195,0,1,3,4
54832590185,0,0,1,4
70828929539,0,1,1,2
24678511601,0,1,1,15
75885956119,0,1,3,4
81537101623,0,0,1,77
99658181587,1,1,2,71
12387316933,1,0,0,47
59268561219,1,1,3,6
75702354627,0,0,3,10
25047384362,0,1,2,25
73040067922,1,1,0,34
72386401751,0,0,0,35
46528564296,1,1,2,39
78898055320,1,0,3,5
79054117112,0,1,0,81
10956938764,0,1,1,11
11884772454,0,1,0,66
92628107129,0,1,2,80
13401280917,1,0,0,48
71978978310,1,0,3,30
62071357754,0,1,3,60
54874558982,0,0,1,39
5941851051,1,1,1,10
36322832320,1,0,3,34
96306310993,1,0,1,3
28909513677,0,1,1,5
79175452359,1,1,0,74
18532406838,0,1,2,24
15027993631,1,1,3,23
61030519899,0,1,3,64
42526668031,1,1,0,16
23247096502,1,1,0,28
89581805899,0,0,3,64
24315039864,0,1,0,66
79400571379,1,1,3,78
30233394160,1,0,2,55
53045548606,1,1,1,78
34568272398,0,1,3,22
77563036935,1,0,2,49
56389338663,0,1,3,34
2306126575,1,0,1,71
12125322480,1,0,2,41
15934534325,0,0,3,61
56609044935,1,1,0,9
19634482527,1,1,3,61
79693182286,1,0,2,8
92770285024,1,0,1,50
93245472206,0,0,2,37
84364209899,1,1,0,62
6524981563,0,0,0,67
83196690039,1,0,3,26
45084157423,0,0,1,62
53393172907,0,0,3,42
37283189561,1,1,1,67
40894664479,1,1,1,24
30041261918,0,0,3,19
82735415001,0,1,0,73
66152675511,0,1,0,12
79338344417,1,0,3,23
91592426750,1,0,3,27
98327802646,1,1,2,80
80292069857,1,0,2,38
47501174228,0,1,0,72
48605923891,1,0,1,21
